nohup: 忽略输入
error....http://www.zhihu.com/people/shi-xiao-42-89
error....http://www.zhihu.com/people/wang-yiding-7
error....http://www.zhihu.com/people/ding-guan-xiang-91
error....http://www.zhihu.com/people/tang-bi-dang-che-3
error....http://www.zhihu.com/people/qi-guai-de-huai-ren
error....http://www.zhihu.com/people/wo-shi-shui-36-25
error....http://www.zhihu.com/people/su-yan-93-72
error....http://www.zhihu.com/people/wang-shu-yu-87-78
error....http://www.zhihu.com/people/tsioiwu
error....http://www.zhihu.com/people/xuebaidehuli
error....http://www.zhihu.com/people/pang-ku-shuai
error....http://www.zhihu.com/people/jasonhe-su-ge-la-di
error....http://www.zhihu.com/people/chen-yi-hang-61
error....http://www.zhihu.com/people/yang-ai-hong-86
error....http://www.zhihu.com/people/joker-lee
error....http://www.zhihu.com/people/ding-sicaiyitang
error....http://www.zhihu.com/people/ta-chu-fan-nao
error....http://www.zhihu.com/people/bang-de-85
error....http://www.zhihu.com/people/raincrowleyfan
error....http://www.zhihu.com/people/akesiou
error....http://www.zhihu.com/people/xia-hua-85
error....http://www.zhihu.com/people/da-le-73-97
error....http://www.zhihu.com/people/xiaoxiao8877
error....http://www.zhihu.com/people/dashhuang
error....http://www.zhihu.com/people/wang-jia-wei-38-78
error....http://www.zhihu.com/people/xiao-yuan-74-40
error....http://www.zhihu.com/people/meng-ye-jian-25
error....http://www.zhihu.com/people/chen-chu-jian-87
error....http://www.zhihu.com/people/mmymmy
error....http://www.zhihu.com/people/lemonsen
error....http://www.zhihu.com/people/best-my
error....http://www.zhihu.com/people/Wiger123
error....http://www.zhihu.com/people/jue-niu-_lei-li-re-gou
error....http://www.zhihu.com/people/xiu-chuan-di-cang-79
error....http://www.zhihu.com/people/qin-he-4-20
error....http://www.zhihu.com/people/yindaweiCN
error....http://www.zhihu.com/people/king-wang-41
error....http://www.zhihu.com/people/hothoho
error....http://www.zhihu.com/people/wang-wang-yu-2
error....http://www.zhihu.com/people/si-wang-zhi-lu
error....http://www.zhihu.com/people/yundoujuan
error....http://www.zhihu.com/people/gorllz
error....http://www.zhihu.com/people/zhou-ming-5-41
error....http://www.zhihu.com/people/leoz-45
error....http://www.zhihu.com/people/guo-wei-xiong-31
error....http://www.zhihu.com/people/bai-ai-mei
error....http://www.zhihu.com/people/kang-kang-93-98
error....http://www.zhihu.com/people/mo-feng-hua-84
error....http://www.zhihu.com/people/yun-shu-s
error....http://www.zhihu.com/people/vivi720906
error....http://www.zhihu.com/people/xiao-shou-bing-bing-liang-85
error....http://www.zhihu.com/people/chun-jiang-shui-nuan-ya-xian-zhi-22
error....http://www.zhihu.com/people/li-ran-guang
error....http://www.zhihu.com/people/nuo-lan-82
error....http://www.zhihu.com/people/zhu-jing-jing-7
error....http://www.zhihu.com/people/di-di-55-89
error....http://www.zhihu.com/org/ge-ben-ha-gen-app-39
error....http://www.zhihu.com/people/5113-love
error....http://www.zhihu.com/people/wu-yan-ting-57
error....http://www.zhihu.com/people/guan-xue-qin-67
error....http://www.zhihu.com/people/uknoweggs
error....http://www.zhihu.com/people/ken-43-1
saved: 琛姐 

saved: 雪梨秦 

saved: 魏洋靓 

saved: sophie 

saved: 飝上天的小时针 

saved: 周鑫池 

saved: 中科院之声 

saved: 唐缺 

saved: CNheis2 

saved: 子由 

saved: 未来事务管理局 

saved: Mather King 

saved: 猫立刻 

saved: 叶洪舟 

saved: MissSchros Cats 

saved: 爱物理的化学人 

saved: 湖畔行人 

saved: 夏目沉吟 

saved: 落叶松 

saved: 长风无忌 

saved: 飞翔的小牛 

saved: DingNZ 

saved: 李一诺 

saved: 苏查哈尔灿 

saved: 一个男人在流浪 

saved: 诗意醇标准 

saved: 三千 

saved: Marinka小莫 

saved: 好奇新报告 

saved: 华沙 

saved: Mel Lee 

saved: zcc1999 

saved: 西園寺世界 

saved: 章易 

saved: 藕粉鸡汤 

saved: 路漫漫其修远兮 

saved: 安居 

saved: 情何以甚 

saved: 豆子彩虹爸 

saved: Eason Sun 

saved: 督军上尉 

saved: rubo 

saved: 四月的谎言 

saved: 田渊栋 

saved: 阿郎 

saved: 太宰琰 

saved: 之乎者也 

saved: 何睿 

saved: 猎户星 

saved: 少数派 

saved: AppSo 

saved: 华东列夫斯基 

saved: 日你七七 

saved: 雨橙柠 

saved: 爱小臭 

saved: 知闻Rogue 

saved: 西西弗斯 

saved: weave 

saved: 苏瑾 

saved: Dantie 

saved: 中国科普博览 

saved: Qualcomm中国 

saved: vczh 

saved: 乾你个乾 

saved: Dumaurier 

saved: gaga salamer 

saved: Luna Li 

saved: 西鱼摸岸 

saved: 鸣三笑 

saved: 行云流水99 

saved: 糖果子Cas 

saved: 梓yue 

saved: 不是爷的小爷 

error....http://www.zhihu.com/people/dan-chun-de-dan-chun
saved: 想养只龙猫的我 

saved: 王书 

saved: 姚晟 

saved: 一元牛 

saved: 未来很好 

saved: 回声 

saved: Suoliwa 

saved: Xianyi Zhang 

saved: 龚黎明 

saved: 严肃 

saved: Aqiu 

saved: 西西弗斯 

saved: 郎朗 

saved: 丁香医生 

saved: Erroll Garner 

saved: 林进之 

saved: notsinglebutsolo 

saved: 王小川 

saved: 赵宇 

saved: Yang Yanzhe 

saved: TimKONG 

saved: unicar 

saved: 许冠泽 

saved: 董婧 

saved: 爱猫的亖亖 

saved: Ivan Yang 

saved: 余敏思 

saved: Infizc 

saved: 周博磊 

saved: Filestorm 

saved: 严林 

saved: 特青年 

saved: 贪心的猫 

saved: 马学生 

saved: YaqiLYU 

saved: 郑哲东 

saved: Qiang Wang 

error....http://www.zhihu.com/people/jiao-zi-chen-50
error....http://www.zhihu.com/people/hong-yan-xi-baby
error....http://www.zhihu.com/people/banfoxianren
error....http://www.zhihu.com/people/tnttnt
error....http://www.zhihu.com/people/han-zi-52-67
error....http://www.zhihu.com/people/lian-zi-85-39
error....http://www.zhihu.com/people/dao-guan-bei-dou
error....http://www.zhihu.com/people/pang-dun-43
error....http://www.zhihu.com/people/nase-mi
error....http://www.zhihu.com/people/dao-min-47
error....http://www.zhihu.com/people/wo-shen-65-79
error....http://www.zhihu.com/people/zhao-yu-hui-38
error....http://www.zhihu.com/people/chen-yu-30-69-86
error....http://www.zhihu.com/people/wu-ming-58-9-29
error....http://www.zhihu.com/people/jesselin
error....http://www.zhihu.com/people/naga
error....http://www.zhihu.com/people/pu-rui-11
error....http://www.zhihu.com/people/ye-guo-guo-86
error....http://www.zhihu.com/people/bai-pao-xia-ren-78
error....http://www.zhihu.com/people/zhuge1899
error....http://www.zhihu.com/people/sun_lei
error....http://www.zhihu.com/people/wu-ren-er
error....http://www.zhihu.com/people/wang-lai-77
error....http://www.zhihu.com/people/wu-la-bu-huan-12
error....http://www.zhihu.com/people/zang-yong-wan
error....http://www.zhihu.com/people/xie-mo-zhe
error....http://www.zhihu.com/people/eastecho
error....http://www.zhihu.com/people/chang-kai-shen-32
error....http://www.zhihu.com/people/yuan-lan-feng-8
error....http://www.zhihu.com/people/zhao-hao-yang-1991
error....http://www.zhihu.com/people/xz4444444
error....http://www.zhihu.com/people/fei-di-97-60
error....http://www.zhihu.com/people/luo-wen-feng-85
error....http://www.zhihu.com/people/lu-ren-84
error....http://www.zhihu.com/people/laojiang1981
error....http://www.zhihu.com/people/hu-yuan-18-35
error....http://www.zhihu.com/people/xijunrugu
error....http://www.zhihu.com/people/Ohshit
error....http://www.zhihu.com/people/zhang-yan-48-35
error....http://www.zhihu.com/people/test1981
error....http://www.zhihu.com/people/wen-wang-98-82
error....http://www.zhihu.com/people/sun-yue-yang
error....http://www.zhihu.com/people/ecitornado
error....http://www.zhihu.com/people/wu-hao-yang-23
error....http://www.zhihu.com/people/mo-mo-mo-70-20
error....http://www.zhihu.com/people/he-he-75-94-86
error....http://www.zhihu.com/people/shao-a-yan
error....http://www.zhihu.com/people/zeng-kai-87
error....http://www.zhihu.com/people/zhang-yun-ming-14
error....http://www.zhihu.com/people/han-chao-93
error....http://www.zhihu.com/people/nu-li-nu-li-zai-nu-li-20-35
error....http://www.zhihu.com/people/lidang
error....http://www.zhihu.com/people/san-chong-bu-tong-de-hong-se
error....http://www.zhihu.com/people/can-zhi-nong-min
error....http://www.zhihu.com/people/qian-du-36-14
error....http://www.zhihu.com/people/wei-bu-xian
error....http://www.zhihu.com/org/chu-le-75
error....http://www.zhihu.com/people/mu-sevenh
error....http://www.zhihu.com/people/windleavez
error....http://www.zhihu.com/people/sxing-sshu-shu
error....http://www.zhihu.com/people/yao-yao-xiong-11
error....http://www.zhihu.com/people/qing-feng-8-23
error....http://www.zhihu.com/people/jet-97-68
error....http://www.zhihu.com/people/liu-duan-duan-66-16
error....http://www.zhihu.com/people/cai-tou-guo-46
error....http://www.zhihu.com/people/lai-lai-81-44
error....http://www.zhihu.com/people/sarin-sha-lin
error....http://www.zhihu.com/people/iuiu-99
error....http://www.zhihu.com/people/shansengsaoyu
error....http://www.zhihu.com/people/pme-mo
error....http://www.zhihu.com/people/haitaodi
error....http://www.zhihu.com/people/da-fen-qi-24
error....http://www.zhihu.com/people/chenhaosheng
error....http://www.zhihu.com/people/UAV-IVS
error....http://www.zhihu.com/people/qian-qi-48
error....http://www.zhihu.com/people/lin-zi-yun-77
error....http://www.zhihu.com/people/nonesuccess
error....http://www.zhihu.com/people/guo-wu-xin
error....http://www.zhihu.com/people/yang-yang-64-96-97
error....http://www.zhihu.com/people/feng-dou-37
error....http://www.zhihu.com/people/fei-dr
error....http://www.zhihu.com/org/ke-xue-shi-jie-za-zhi
error....http://www.zhihu.com/people/wu-zhi-mao-78
error....http://www.zhihu.com/people/wan-xiong-a-xiong
error....http://www.zhihu.com/people/da-zhong-mao
error....http://www.zhihu.com/people/liu-shuai-80-66
error....http://www.zhihu.com/people/ying-yan-ting-29
error....http://www.zhihu.com/people/qi-yang-3
error....http://www.zhihu.com/people/fu-shi-bo
error....http://www.zhihu.com/people/du-ke
error....http://www.zhihu.com/people/zhang-3feng-one
error....http://www.zhihu.com/people/he-ming-ke
error....http://www.zhihu.com/people/xin_zou
error....http://www.zhihu.com/people/xiao-xing-xing-79-21-68
error....http://www.zhihu.com/people/dai-tou-da-ge-35
error....http://www.zhihu.com/people/qin-xiao-10-11
error....http://www.zhihu.com/people/lu-qiang-41-97
error....http://www.zhihu.com/people/he-bin-qing-4
error....http://www.zhihu.com/people/atu1984
error....http://www.zhihu.com/people/puppeteer
error....http://www.zhihu.com/people/wu_chang_hao
error....http://www.zhihu.com/people/bu-fu-yong-wang-98
error....http://www.zhihu.com/people/feng-jian-da
